0,1,81
1,82,282
2,283,340
3,341,700
4,701,728
5,729,767
6,768,1078
7,1079,1121
8,1122,1452
9,1453,1913
10,1914,2004
11,2005,2095
12,2096,2411
13,2412,2541
14,2542,2570
15,2571,3241
16,3242,3279
17,3280,3308
18,3309,3509
19,3510,3576
20,3577,4166
21,4167,4190
22,4191,4224
23,4225,4291
24,4292,4348
25,4349,4799
26,4800,5068
27,5069,5101
28,5102,5259
29,5260,5298
30,5299,5480
31,5481,5533
32,5534,5576
33,5577,5605
34,5606,5955
35,5956,7374
36,7375,7575
37,7576,7724
38,7725,7901
39,7902,7935
40,7936,7978
41,7979,8012
42,8013,8069
43,8070,8093
44,8094,8203
45,8204,8467
46,8468,8611
47,8612,9153
48,9154,10385
49,10386,11248
50,11249,11306
51,11307,11344
52,11345,11411
53,11412,11785
54,11786,11852
55,11853,12504
56,12505,12734
57,12735,12974
58,12975,13113
59,13114,13195
60,13196,13233
61,13234,13765
62,13766,13837
63,13838,13890
64,13891,13938
65,13939,14254
66,14255,14504
67,14505,14648
68,14649,15156
69,15157,15343
70,15344,15482
71,15483,15640
72,15641,15885
73,15886,16096
74,16097,16144
75,16145,16187
76,16188,16551
77,16552,16609
78,16610,16642
79,16643,16863
80,16864,17040
81,17041,17218
82,17219,17294
83,17295,17309
84,17310,17323
85,17324,17337
86,17338,17371
87,17372,17405
88,17406,19001
89,19002,19318
90,19319,19366
91,19367,19404
92,19405,19663
93,19664,19975
94,19976,20018
95,20019,20138
96,20139,20152
97,20153,20603
98,20604,20694
99,20695,20761
100,20762,23312
101,23313,23475
102,23476,24088
103,24089,24309
104,24310,24338
105,24339,24424
106,24425,25225
107,25226,26179
108,26180,26217
109,26218,26730
110,26731,26750
111,26751,26774
112,26775,26793
113,26794,27148
114,27149,27215
115,27216,27282
116,27283,27315
117,27316,27507
118,27508,27996
119,27997,28274
120,28275,28313
121,28314,28380
122,28381,29070
123,29071,29516
124,29517,29694
125,29695,29837
126,29838,29881
127,29882,30355
128,30356,30413
129,30414,30547
130,30548,30763
131,30764,30825
132,30826,31170
133,31171,31228
134,31229,31674
135,31675,32513
136,32514,32604
137,32605,32628
138,32629,33386
139,33387,33438
140,33439,33635
141,33636,33683
142,33684,33841
143,33842,33990
144,33991,34018
145,34019,34095
146,34096,34215
147,34216,34402
148,34403,35001
149,35002,35668
150,35669,35754
151,35755,35898
152,35899,36090
153,36091,36469
